expolim,maxterms,minterms,rmse_test,mae_test,nmse_test,time,expr
"(-3, 3)",5,3,1.2962068567582237,0.8474563690566652,0.013650842085670791,80.79274988174437,-46.725*sqrt.abs(x0 * x1 * x2^-3 * x3^-1 * x4^2 * x5^3) + 256.291*tanh(x1^-2 * x2^2 * x3^-2 * x4^-2 * x5^2) + -51393.51*cos(x1^-1 * x2 * x3^-1 * x4^-1 * x5^3) + 11008.142*cos(x1^-1 * x2 * x3^-1 * x4^-1 * x5^2) + -1771.431*cos(x5^2) + 42155.551
"(-3, 3)",5,4,1.3410844546242944,1.005086828428848,0.014473122003674024,84.77138829231262,-9130.887*cos(x1^-2 * x2^-2 * x3 * x4 * x5^3) + -933.124*exp(x1^-3 * x2^-3 * x3^2 * x4^-1 * x5^3) + -11.552*sqrt.abs(x0 * x1^2 * x3^2 * x4^-3 * x5^3) + 21.595*(x1^2 * x3^3 * x4^-2 * x5^2) + 182.517*cos(x1^-3 * x2^-3 * x3^2 * x4^2 * x5^3) + 9882.232
"(-3, 3)",5,5,1.995927618308632,1.3522421462159049,0.03173858244498355,86.29481530189514,-1.409*(x1^-1 * x2^2 * x3^-1 * x4^2 * x5^2) + -2442.794*cos(x2 * x3^-1 * x5^2) + -160.359*tanh(x1 * x3^-1 * x5^-3) + -102593.527*exp(x1^2 * x2^-3 * x3^-2 * x4^2 * x5^3) + -3.106*log(x1^-1 * x2^-3 * x3^2 * x4^-2 * x5^-2) + 105200.562
"(-3, 3)",10,3,0.8645810663034382,0.6651724341607863,0.005961942551142443,120.56524324417114,-17299498653.206*cos(x1^3 * x2^2 * x3^-3 * x4^-3 * x5^3) + 227026185538.534*cos(x1^3 * x2 * x3^-3 * x4^-3 * x5^3) + -3122117.644*cos(x0 * x1^3 * x2^-3 * x3^3 * x4^-3 * x5^3) + 88588.038*sin(x0 * x1 * x2^-3 * x4^-3 * x5^3) + 279982441.562*cos(x1^3 * x2^2 * x3^-3 * x4^-2 * x5^3) + 4.26*exp(x2^2 * x5^3) + -2.373*log(x1^-1 * x2^2 * x3^-1 * x4^-1 * x5^-1) + 1276.993*(x1^3 * x2^-1 * x3^-2 * x4 * x5) + 32780720.195*cos(x1^3 * x2 * x3^-2 * x4^-1 * x5^3) + -7762.664*exp(x1^3 * x2^3 * x3^-3 * x4^-2 * x5^3) + -210036320164.396
"(-3, 3)",10,4,0.921214663589063,0.5902382059980874,0.006792070423301944,118.73749327659607,-0.438*sin(x1^-3 * x2^3 * x4^-2 * x5^2) + -11709.029*cos(x1 * x2^2 * x3^-1 * x4^-1 * x5^3) + -255.34*cos(x1^-3 * x2^3 * x3^-1 * x4^-3 * x5^3) + 3.218*tanh(x1^-2 * x2^2 * x3 * x4^-1 * x5^3) + -314.396*tanh(x1^-3 * x2^3 * x3^-2 * x4^-3 * x5^3) + 19.189*tanh(x0^2 * x3^-3 * x4^2 * x5^3) + 115.061*(x0 * x3^-2 * x4 * x5^3) + -85.51*tanh(x1^3 * x2 * x3^-2 * x4^2 * x5^3) + -11.988*cos(x1 * x2^-1 * x3 * x4 * x5) + 173.765*exp(x1^-3 * x2^3 * x3^-3 * x4^-3 * x5^2) + 11802.224
"(-3, 3)",10,5,0.9043004020148258,0.6314655383612732,0.0064638068135692475,118.09185075759888,-15.681*sqrt.abs(x1^-1 * x2^-3 * x3^3 * x4^3 * x5^3) + 90.639*cos(x1^3 * x2^-1 * x3^2 * x4 * x5^2) + 269.646*exp(x1^-2 * x2^3 * x3^-3 * x4^-1 * x5^3) + -1256.231*(x1^-3 * x2^-3 * x3^-1 * x4^3 * x5^3) + -44009.443*cos(x1^-1 * x2^-3 * x3 * x4^2 * x5^3) + 38.756*sqrt.abs(x1 * x2^-1 * x3^2 * x4^2 * x5^3) + 0.621*exp(x0^2 * x1^-3 * x2^-1 * x3 * x4^-2 * x5^2) + -119.586*tanh(x1^-2 * x2^-3 * x3 * x4^3 * x5^3) + 12190.603*exp(x0 * x3^-3 * x4^-2 * x5^3) + 7.521*sin(x1^-3 * x3^-2 * x4 * x5) + 31454.045
"(-3, 3)",15,3,0.9754016317912128,0.6107496358958945,0.007486885843658949,148.01080608367917,-0.063*(x1^-3 * x2^3 * x3 * x4 * x5^3) + -0.307*(x0 * x1^-3 * x2^3 * x3 * x4^-1 * x5^3) + -108.315*(x0^3 * x2 * x3^-1 * x4^-3 * x5^3) + 74.558*(x0 * x1 * x2^-2 * x4^3 * x5^3) + 1.196*sqrt.abs(x1^-2 * x2 * x3 * x4^3 * x5^2) + -0.757*sin(x0 * x1^-3 * x2^3 * x3^-1 * x4^-3 * x5^2) + -199.579*cos(x2^3 * x3^-1 * x4^-1 * x5^3) + -0.024*(x0^2 * x1^-3 * x2^3 * x3^2 * x4^-2 * x5^3) + 445.62*sin(x0 * x1^-1 * x2^3 * x3^-2 * x4^-3 * x5^3) + -0.549*sin(x0^3 * x1^-2 * x2^2 * x4^-2 * x5^3) + -12086.322*tanh(x1^-3 * x2^-3 * x4^-2 * x5^3) + -31936205.712*cos(x1^-2 * x3^-2 * x4^-3 * x5^3) + -18121.151*cos(x1 * x2^3 * x3^-1 * x4^-3 * x5^3) + 0.725*sqrt.abs(x2^-3 * x3^2 * x4^-1 * x5^-3) + 3161.42*sqrt.abs(x1 * x2^-1 * x3^-3 * x4^-3 * x5^2) + 31954514.065
"(-3, 3)",15,4,0.666057468350044,0.4073543573617488,0.003500359436184984,143.35421633720395,-42463.693*cos(x2^-1 * x4 * x5^3) + 60623.44*cos(x2^-2 * x4^2 * x5^3) + -1500.906*cos(x1^-1 * x2 * x3^-1 * x5^3) + -495994.889*sin(x0^2 * x1 * x2^-2 * x3^-2 * x4^-3 * x5^3) + -3.396*sin(x1^-3 * x2^-1 * x3 * x4^2 * x5^3) + 15.272*tanh(x1^-2 * x2 * x4 * x5^3) + -11374.499*cos(x2 * x4^-2 * x5^3) + -2910314.962*(x0^3 * x1^2 * x2^-3 * x3^-3 * x4^-3 * x5^3) + 1.289*cos(x1^-1 * x2^-2 * x3 * x4^3 * x5) + 6589.359*sin(x1 * x3^-1 * x4^-3 * x5^2) + 0.823*sqrt.abs(x0 * x1^-3 * x2^-3 * x3^3 * x4^2 * x5^3) + -135.023*sin(x1^-1 * x2^2 * x3^-1 * x4^-1 * x5^3) + 6.683*cos(x1^-3 * x3 * x5^3) + -3150.175*cos(x1^-1 * x2^2 * x3^-1 * x4^-2 * x5^3) + -84.0*sin(x0^2 * x1 * x2^-3 * x3^-2 * x4^-1) + -2142.025
"(-3, 3)",15,5,0.8401130820456191,0.4529089062048062,0.005601136292127687,146.27781319618225,-275.811*tanh(x2^-2 * x4^2 * x5^-2) + 11.948*(x0 * x1^-2 * x2^-1 * x3^3 * x4^-2 * x5^3) + -1772.307*tanh(x2^-1 * x3 * x5^-2) + -0.002*(x1^-3 * x2^2 * x3^3 * x4^2 * x5^3) + 11.348*(x0^2 * x1^-3 * x2^-2 * x3^3 * x4^-3 * x5^3) + -214.411*tanh(x1 * x2^-1 * x5^-3) + -0.253*(x0 * x1^3 * x2^2 * x3^2 * x4^-1 * x5^2) + 3.172*sqrt.abs(x1 * x2^-1 * x3^3 * x4^3 * x5^3) + -15196181.464*cos(x2 * x3^-2 * x4^-3 * x5^3) + -2.057*log(x1^3 * x2^-3 * x4^3 * x5^-1) + -7.643*sin(x1^-1 * x3 * x5) + -193486.827*tanh(x1^-1 * x2^-2 * x3 * x4^2 * x5^-1) + 13.44*(x1^3 * x2^2 * x3^-3 * x4^2 * x5^3) + -0.228*tanh(x0^-1 * x1^3 * x2^3 * x3^-3 * x4^2 * x5^-2) + -0.0*sqrt.abs(x0^3 * x1^-3 * x2^3 * x3^2) + 15391933.083
"(-2, 2)",5,3,1.423265163150944,0.9062324098316786,0.01633173691757313,81.3979332447052,-671.821*cos(x1^-1 * x2^-1 * x4 * x5^2) + -16689.182*tanh(x1^-2 * x2^-1 * x4 * x5^-1) + -0.707*sqrt.abs(x0^2 * x1^-2 * x2^2 * x3^-1 * x4^-2 * x5^2) + -772.151*tanh(x1 * x2^-2 * x3 * x4 * x5^-2) + 299.534*tanh(x1^2 * x2^-1 * x3 * x5^-2) + 17834.122
"(-2, 2)",5,4,1.4694547701983445,1.0607973376988769,0.01736474925642561,78.98814272880556,104.921*exp(x2 * x5^2) + -27.811*(x2^2 * x5^2) + 179.794*sqrt.abs(x1^-2 * x2^2 * x3^-1 * x4^-2 * x5^2) + 15889.329*exp(x1^-2 * x2 * x3^-1 * x4^-2 * x5^2) + -17635.015*tanh(x1^-2 * x2 * x3^-1 * x4^-2 * x5^2) + -16013.021
"(-2, 2)",5,5,1.4592919710875352,0.9948416636892264,0.017130017730809716,87.26038527488708,-19190.12*tanh(x1 * x2 * x4^-1 * x5^-2) + -4357.436*cos(x1^-1 * x2^-2 * x3 * x4 * x5^2) + 2178.953*(x1^2 * x2^-1 * x3 * x5^2) + -6.109*log(x1^2 * x2^2 * x3^-2 * x4^-1 * x5^-2) + 5925.62*cos(x2^-2 * x3 * x4 * x5) + 17640.137
"(-2, 2)",10,3,0.982732853076536,0.6939912869853357,0.007755690696499762,103.19240832328795,-960720407.706*cos(x2^-2 * x3^-1 * x4^-2 * x5^2) + 853357370.589*tanh(x2^-2 * x5^2) + 3103.59*sin(x2^-2 * x3 * x4^2 * x5^2) + -18359494.241*sin(x2^-1 * x5^2) + 18356659.485*(x2^-1 * x5^2) + 902.225*sin(x0 * x2^-2 * x3^-1 * x5^2) + 493.287*tanh(x0^2 * x2^-2 * x3^-2 * x5^2) + -2975.836*(x2^-2 * x3 * x4^2 * x5^2) + -853345746.758*sin(x2^-2 * x5^2) + 2689492.888*cos(x2^-2 * x5^2) + 958030913.046
"(-2, 2)",10,4,0.8747035352154416,0.5302924234237553,0.006125345571046202,106.99544048309326,-2393.426*tanh(x1 * x5^-2) + 2359.763*(x0 * x1 * x2^-1 * x3^-1 * x4^-1 * x5^2) + 2.018*sqrt.abs(x0^2 * x1^2 * x2^2 * x3^-2 * x4^2 * x5^2) + -132.907*tanh(x1 * x2^-1 * x3 * x5^-2) + -0.364*exp(x1^-2 * x2 * x5^2) + -205.407*tanh(x1^2 * x5^-2) + -172659.67*cos(x1^2 * x4^-1 * x5^2) + 589639.729*cos(x1^2 * x4^-2 * x5^2) + 7482.78*tanh(x0^2 * x1^2 * x2^-2 * x3^-2 * x4^-1 * x5^2) + 6.694*cos(x0 * x1^2 * x2^-1 * x3^-1 * x4^2) + -414254.337
"(-2, 2)",10,5,1.183502057109138,0.7999641378776682,0.011282336590528798,110.70051884651184,-962.449*cos(x1^-2 * x2^-1 * x4 * x5^2) + -370707.094*cos(x0 * x1^2 * x2^-2 * x3^-2 * x4 * x5) + -503.836*tanh(x1^-2 * x2^-2 * x4 * x5^-2) + 63.139*tanh(x2^-2 * x3 * x5^-2) + -22016587.774*tanh(x2^-2 * x3 * x4^2 * x5^-2) + -6.541*log(x1^2 * x2^-2 * x3 * x4 * x5^-1) + 802413.641*tanh(x1^2 * x2^-2 * x3^2 * x4^2 * x5^-2) + 8.918*(x0 * x1^-1 * x2^-2 * x3^2 * x4 * x5^2) + -380.71*exp(x0 * x1^2 * x2^-1 * x5^2) + -141.965*tanh(x1^-2 * x2^2 * x3^-2 * x4^-1 * x5^2) + 21586670.399
"(-2, 2)",15,3,0.737295936303785,0.5016516062361258,0.004337852841704184,134.10179424285892,63.076*cos(x1^2 * x2 * x4 * x5^2) + -2189.816*cos(x1^2 * x4 * x5^2) + -0.073*(x0 * x1^-2 * x2 * x3^-1 * x4^2 * x5) + -3788849.539*sin(x1^-2 * x2 * x3^-2 * x4^-2 * x5^2) + 164.837*tanh(x1^2 * x2^-1 * x4 * x5^-2) + 1475.612*cos(x1^-2 * x2^-1 * x5) + 5.3*cos(x2 * x4 * x5^2) + -7.677*cos(x1^-2 * x2 * x5^2) + 5260.548*cos(x1^-2 * x2^2 * x3^-2 * x4^-2 * x5^2) + 116.83*sin(x0 * x1^2 * x2^2 * x3^-2 * x4^-1 * x5^2) + -2015.696*cos(x1^-2 * x4^-1 * x5^2) + 2.633*exp(x0^2 * x1^2 * x2^-1 * x3 * x5^2) + -653.453*tanh(x1^2 * x5^-2) + -12.105*cos(x1^-2 * x2 * x4^-1 * x5) + 3790753.408*(x1^-2 * x2 * x3^-2 * x4^-2 * x5^2) + -2093.712
